variableName,method,scaleToken,alpha
--color-canvas-default-transparent,rgba,scale.white,0
--color-page-header-bg,hex,scale.black,
,skip,,
--color-marketing-icon-primary,hex,scale.blue.4,
--color-marketing-icon-secondary,hex,scale.blue.3,
,skip,,
--color-diff-blob-addition-num-text,hex,scale.black,
--color-diff-blob-addition-fg,hex,scale.black,
--color-diff-blob-addition-num-bg,hex,scale.green.0,
--color-diff-blob-addition-line-bg,hex,scale.green.0,
--color-diff-blob-addition-word-bg,hex,scale.green.1,
--color-diff-blob-deletion-num-text,hex,scale.black,
--color-diff-blob-deletion-fg,hex,scale.black,
--color-diff-blob-deletion-num-bg,hex,scale.red.1,
--color-diff-blob-deletion-line-bg,hex,scale.red.0,
--color-diff-blob-deletion-word-bg,rgba,scale.red.3,0.4
--color-diff-blob-hunk-num-bg,rgba,scale.blue.3,0.4
--color-diff-blob-expander-icon,hex,scale.gray.6,
--color-diff-blob-selected-line-highlight-mix-blend-mode,skip,,
,skip,,
--color-diffstat-deletion-border,rgba,scale.black,0.15
--color-diffstat-addition-border,rgba,scale.black,0.15
--color-diffstat-addition-bg,skip,,
,skip,,
--color-search-keyword-hl,hex,scale.yellow.0,
,skip,,
--color-prettylights-syntax-comment,hex,scale.gray.6,
--color-prettylights-syntax-constant,hex,scale.blue.6,
--color-prettylights-syntax-entity,hex,scale.purple.6,
--color-prettylights-syntax-storage-modifier-import,hex,scale.gray.9,
--color-prettylights-syntax-entity-tag,hex,scale.green.6,
--color-prettylights-syntax-keyword,hex,scale.red.5,
--color-prettylights-syntax-string,hex,scale.blue.8,
--color-prettylights-syntax-variable,hex,scale.orange.6,
--color-prettylights-syntax-brackethighlighter-unmatched,hex,scale.red.7,
--color-prettylights-syntax-invalid-illegal-text,hex,scale.gray.0,
--color-prettylights-syntax-invalid-illegal-bg,hex,scale.red.7,
--color-prettylights-syntax-carriage-return-text,hex,scale.gray.0,
--color-prettylights-syntax-carriage-return-bg,hex,scale.red.5,
--color-prettylights-syntax-string-regexp,hex,scale.green.6,
--color-prettylights-syntax-markup-list,hex,scale.yellow.9,
--color-prettylights-syntax-markup-heading,hex,scale.blue.6,
--color-prettylights-syntax-markup-italic,hex,scale.gray.9,
--color-prettylights-syntax-markup-bold,hex,scale.gray.9,
--color-prettylights-syntax-markup-deleted-text,hex,scale.red.7,
--color-prettylights-syntax-markup-deleted-bg,hex,scale.red.0,
--color-prettylights-syntax-markup-inserted-text,hex,scale.green.6,
--color-prettylights-syntax-markup-inserted-bg,hex,scale.green.0,
--color-prettylights-syntax-markup-changed-text,hex,scale.orange.6,
--color-prettylights-syntax-markup-changed-bg,hex,scale.orange.1,
--color-prettylights-syntax-markup-ignored-text,hex,scale.gray.1 ,
--color-prettylights-syntax-markup-ignored-bg,hex,scale.blue.6,
--color-prettylights-syntax-meta-diff-range,hex,scale.purple.5,
--color-prettylights-syntax-brackethighlighter-angle,hex,scale.gray.5,
--color-prettylights-syntax-sublimelinter-gutter-mark,hex,scale.gray.4,
--color-prettylights-syntax-constant-other-reference-link,hex,scale.blue.8,
,skip,,
--color-codemirror-text,hex,scale.black,
--color-codemirror-bg,hex,scale.white,
--color-codemirror-gutters-bg,hex,scale.white,
--color-codemirror-guttermarker-text,hex,scale.white,
--color-codemirror-guttermarker-subtle-text,hex,scale.gray.5,
--color-codemirror-linenumber-text,hex,scale.gray.6,
--color-codemirror-cursor,hex,scale.black,
--color-codemirror-selection-bg,rgba,scale.blue.3,0.4
--color-codemirror-activeline-bg,rgba,scale.gray.1 ,0.5
--color-codemirror-matchingbracket-text,hex,scale.black,
--color-codemirror-lines-bg,hex,scale.white,
--color-codemirror-syntax-comment,hex,scale.gray.9,
--color-codemirror-syntax-constant,hex,scale.blue.6,
--color-codemirror-syntax-entity,hex,scale.purple.5,
--color-codemirror-syntax-keyword,hex,scale.red.5,
--color-codemirror-syntax-storage,hex,scale.red.5,
--color-codemirror-syntax-string,hex,scale.blue.8,
--color-codemirror-syntax-support,hex,scale.blue.6,
--color-codemirror-syntax-variable,hex,scale.orange.6,
,skip,,
--color-checks-bg,hex,scale.gray.9,
--color-checks-run-border-width,skip,,
--color-checks-container-border-width,skip,,
--color-checks-text-primary,hex,scale.gray.0,
--color-checks-text-secondary,hex,scale.gray.4,
--color-checks-text-link,hex,scale.blue.3,
--color-checks-btn-icon,hex,scale.gray.3,
--color-checks-btn-hover-icon,hex,scale.gray.0,
--color-checks-btn-hover-bg,rgba,scale.white,0.125
--color-checks-input-text,hex,scale.gray.1 ,
--color-checks-input-placeholder-text,hex,scale.gray.4,
--color-checks-input-focus-text,hex,scale.gray.4,
--color-checks-input-bg,hex,scale.gray.8,
--color-checks-input-shadow,skip,,
--color-checks-donut-error,hex,scale.red.4,
--color-checks-donut-pending,hex,scale.yellow.4,
--color-checks-donut-success,hex,scale.green.5,
--color-checks-donut-neutral,hex,scale.gray.3,
--color-checks-dropdown-text,hex,scale.gray.3,
--color-checks-dropdown-bg,hex,scale.gray.8,
--color-checks-dropdown-border,hex,scale.gray.7,
--color-checks-dropdown-shadow,shadow,scale.black,0.3
--color-checks-dropdown-hover-text,hex,scale.gray.0,
--color-checks-dropdown-hover-bg,hex,scale.gray.7,
--color-checks-dropdown-btn-hover-text,hex,scale.gray.0,
--color-checks-dropdown-btn-hover-bg,hex,scale.gray.8,
--color-checks-scrollbar-thumb-bg,hex,scale.gray.6,
--color-checks-header-label-text,hex,scale.gray.2,
--color-checks-header-label-open-text,hex,scale.gray.0,
--color-checks-header-border,hex,scale.gray.8,
--color-checks-header-icon,hex,scale.gray.4,
--color-checks-line-text,hex,scale.gray.2,
--color-checks-line-num-text,rgba,scale.gray.4,0.75
--color-checks-line-timestamp-text,hex,scale.gray.4,
--color-checks-line-hover-bg,hex,scale.gray.8,
--color-checks-line-selected-bg,rgba,scale.blue.4,0.15
--color-checks-line-selected-num-text,hex,scale.blue.3,
--color-checks-line-dt-fm-text,hex,scale.gray.9,
--color-checks-line-dt-fm-bg,hex,scale.yellow.5,
--color-checks-gate-bg,rgba,scale.yellow.6,0.15
--color-checks-gate-text,hex,scale.gray.2,
--color-checks-gate-waiting-text,hex,scale.yellow.3,
--color-checks-step-header-open-bg,hex,scale.gray.8,
--color-checks-step-error-text,hex,scale.red.3,
--color-checks-step-warning-text,hex,scale.yellow.3,
--color-checks-logline-text,hex,scale.gray.4,
--color-checks-logline-num-text,rgba,scale.gray.4,0.75
--color-checks-logline-debug-text,hex,scale.purple.3,
--color-checks-logline-error-text,hex,scale.gray.2,
